epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.426,2.37128,2.52683,1.56239,0.37458,0.21306,0.18815,0.06443,2.13893,2.51917,1.45275,0.000653846,0.000653846,0.000653846
2,467.555,2.20147,1.97136,1.42808,0.41626,0.37792,0.33985,0.12517,2.04668,2.16926,1.36827,0.00130744,0.00130744,0.00130744
3,695.109,2.14021,1.87771,1.40047,0.40914,0.36703,0.33297,0.11654,2.13262,2.08243,1.38765,0.00194783,0.00194783,0.00194783
4,946.307,2.1213,1.81386,1.38427,0.51448,0.34837,0.32219,0.12072,2.24489,2.42345,1.49824,0.0019406,0.0019406,0.0019406
5,1173.37,2.13186,1.78594,1.37621,0.42039,0.40435,0.3702,0.14105,2.02782,1.92735,1.39856,0.0019208,0.0019208,0.0019208
6,1398.74,2.06427,1.73785,1.3577,0.44318,0.48056,0.43296,0.16619,2.01986,1.96751,1.36073,0.001901,0.001901,0.001901
7,1623.51,2.05949,1.69663,1.35045,0.47843,0.48212,0.46267,0.18672,1.98452,1.7815,1.33582,0.0018812,0.0018812,0.0018812
8,1850.73,2.04493,1.68731,1.33825,0.43993,0.50233,0.44325,0.17417,1.99988,1.83823,1.33951,0.0018614,0.0018614,0.0018614
9,2076.78,2.01912,1.67383,1.3332,0.51012,0.46479,0.4656,0.18763,1.97743,1.76001,1.33649,0.0018416,0.0018416,0.0018416
10,2301.03,1.98663,1.64357,1.31759,0.46016,0.47745,0.4543,0.19748,1.92315,1.70391,1.33927,0.0018218,0.0018218,0.0018218
11,2526.69,1.99915,1.66455,1.33482,0.4299,0.50311,0.41879,0.17238,1.94648,1.81402,1.3388,0.001802,0.001802,0.001802
12,2750.13,2.01146,1.64856,1.3361,0.52935,0.46877,0.47146,0.19436,1.92442,1.67373,1.31292,0.0017822,0.0017822,0.0017822
13,2975.87,1.99556,1.61696,1.32778,0.51207,0.47123,0.46964,0.19507,1.93611,1.698,1.34138,0.0017624,0.0017624,0.0017624
14,3197.55,1.96327,1.59333,1.31402,0.49328,0.46034,0.46462,0.19641,1.90453,1.69574,1.33218,0.0017426,0.0017426,0.0017426
15,3424.11,1.97063,1.57918,1.3012,0.49324,0.45412,0.45822,0.18891,2.02368,1.74137,1.40697,0.0017228,0.0017228,0.0017228
16,3650.29,1.97337,1.55183,1.30957,0.4605,0.49249,0.48207,0.19788,1.99533,1.64991,1.34479,0.001703,0.001703,0.001703
17,3877.98,1.97325,1.56648,1.30049,0.44636,0.45568,0.44183,0.18995,1.90714,1.72965,1.3162,0.0016832,0.0016832,0.0016832
18,4099.8,1.95905,1.53504,1.29521,0.5003,0.48736,0.48443,0.19031,1.93545,1.72868,1.35594,0.0016634,0.0016634,0.0016634
19,4323.24,1.94941,1.52174,1.28327,0.53683,0.52454,0.51968,0.22157,1.86358,1.6049,1.27557,0.0016436,0.0016436,0.0016436
20,4548.51,1.93415,1.53784,1.27665,0.56079,0.54588,0.54213,0.21789,1.9531,1.64599,1.34222,0.0016238,0.0016238,0.0016238
21,4772.43,1.96134,1.55788,1.2967,0.54155,0.48834,0.50814,0.21394,1.91159,1.58809,1.31594,0.001604,0.001604,0.001604
22,4996.54,1.93788,1.54251,1.31208,0.48114,0.507,0.47979,0.19387,1.94939,1.67813,1.31232,0.0015842,0.0015842,0.0015842
